card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_palette
OMEGA-011,OMEGA,1,PRIMERIOS TRINITY,Angelic,Earth,LUMINA SECT,10421,1000,103,124,809,DIVINE.CORE.CHARGE,DIVINE.TERRA.LOCK,DIVINE.STONE.SLAM,DIVINE.CORE.CATALYST,DIVINE.TERRA.SUPPRESS,DIVINE.STONE.EMPOWER,DIVINE.MOUNTAIN.WARD,DIVINE.FISSURE.APOTHEOSIS,DIVINE.STONE.SLAM,[PRIME LEADER] PRIMERIOS TRINITY descends from the ASTRUM DIVISION. Earth radiance shields the faithful. THREAT LEVEL: MAXIMUM.,OMEGA-011_PRIMERIOS_TRINITY_idle.png,ID.4032|ID.7867|ID.9093,"[14, 198, 144]"
OMEGA-012,OMEGA,1,LYRDUNE TRINITY,Demonic,Blood,VOID CULT,8306,863,117,115,877,DIVINE.PULSE.SHIELD,DIVINE.SANGUINE.CATALYST,DIVINE.HEMORRHAGE.RUSH,DIVINE.PULSE.SLAM,DIVINE.SANGUINE.CLEANSE,DIVINE.VITAL.SILENCE,DIVINE.VEIN.STRIKE,DIVINE.PULSE.SUPPRESS,DIVINE.CRIMSON.ZENITH,[PRIME LEADER] LYRDUNE TRINITY claws forth from the ABYSSAL CABAL. Blood burns in its wake. THREAT LEVEL: MAXIMUM.,OMEGA-012_LYRDUNE_TRINITY_idle.png,ID.2072|ID.2536|ID.4325,"[248, 224, 202]"
ALPHA-101,ALPHA,2,SolarVire,Viral,Sound,INFECTION VECTOR,9191,792,85,82,554,Tone Terminus,Wave Suppress,Wave Boost,Wave Slam,Wave Cataclysm,Wave Rush,Pulse Strike,Frequency Shield,Echo Bind,Strain SolarVire breaches containment. Sound-mutation sequence active. Quarantine failed.,ALPHA-101_SolarVire_idle.png,ID.7312|ID.7826|ID.7307,"[251, 149, 53]"
ALPHA-102,ALPHA,2,EternalPhos,Mechanical,Wind,SYNTHETIC NETWORK,8141,609,82,100,614,Breeze Lock,Breeze Cataclysm,Cyclone Barrage,Gale Rush,Breeze Restore,Cyclone Empower,Draft Terminus,Draft Drain,Breeze Slam,Unit EternalPhos deployed from GEAR SECT. Core temperature stable. Elemental sync: Wind.,ALPHA-102_EternalPhos_idle.png,ID.2113|ID.8401|ID.9887,"[84, 215, 165]"
ALPHA-103,ALPHA,2,Joros,Demonic,Blood,ABYSSAL CABAL,6687,754,81,100,715,Sanguine Rush,Vein Charge,Crimson Charge,Hemorrhage Catalyst,Hemorrhage Ward,Pulse Restore,Sanguine Bind,Crimson Terminus,Crimson Silence,Joros claws forth from the VOID CULT. Blood burns in its wake.,ALPHA-103_Joros_idle.png,ID.5191|ID.2251|ID.4654,"[45, 127, 38]"
ALPHA-104,ALPHA,2,Nexvex,Viral,Sound,INFECTION VECTOR,7721,646,98,109,487,Resonance Suppress,Tone Overdrive,Echo Charge,Pulse Shield,Pulse Cataclysm,Pulse Cleanse,Tone Onslaught,Echo Drain,Wave Barrage,Strain Nexvex breaches containment. Sound-mutation sequence active. Quarantine failed.,ALPHA-104_Nexvex_idle.png,ID.7266|ID.2221|ID.3168,"[127, 126, 54]"
ALPHA-105,ALPHA,2,Thos Horror,Demonic,Sound,ABYSSAL CABAL,8135,779,97,86,585,Tone Slam,Echo Rush,Pulse Rush,Echo Lock,Resonance Empower,Echo Catalyst,Resonance Catalyst,Pulse Stun,Tone Restore,Thos Horror claws forth from the VOID CULT. Sound burns in its wake.,ALPHA-105_Thos_Horror_idle.png,ID.8054|ID.6773|ID.8721,"[222, 98, 7]"
ALPHA-106,ALPHA,2,Bryphos,Angelic,Dark,HALO CORE,8546,849,86,92,681,Shadow Lock,Night Shield,Night Catalyst,Umbra Restore,Umbra Silence,Shadow Barrage,Shadow Barrage,Night Terminus,Abyss Charge,Bryphos descends from the CELESTIAL ORDER. Dark radiance shields the faithful.,ALPHA-106_Bryphos_idle.png,ID.3996|ID.7872|ID.6897,"[79, 40, 49]"
ALPHA-107,ALPHA,2,Kros Dread,Demonic,Lightning,ABYSSAL CABAL,7940,755,85,100,454,Surge Slam,Surge Boost,Static Onslaught,Thunder Zenith,Volt Silence,Thunder Barrage,Spark Zenith,Spark Lock,Static Restore,Kros Dread claws forth from the PANDEMONIUM NET. Lightning burns in its wake.,ALPHA-107_Kros_Dread_idle.png,ID.4270|ID.6540|ID.9838,"[190, 215, 109]"
ALPHA-108,ALPHA,2,Gon Strain,Viral,Wind,ROT CLUSTER,8865,694,86,87,581,Draft Silence,Breeze Barrage,Breeze Terminus,Squall Rush,Cyclone Restore,Squall Charge,Gale Catalyst,Gale Lock,Gale Empower,Strain Gon Strain breaches containment. Wind-mutation sequence active. Quarantine failed.,ALPHA-108_Gon_Strain_idle.png,ID.2253|ID.5748|ID.4453,"[153, 212, 80]"
ALPHA-109,ALPHA,2,Xel Strain,Viral,Crystal,PHAGE CELL,7012,758,93,103,496,Prism Strike,Gem Apotheosis,Prism Strike,Geode Lock,Shard Silence,Geode Shield,Prism Catalyst,Lattice Restore,Shard Barrage,Strain Xel Strain breaches containment. Crystal-mutation sequence active. Quarantine failed.,ALPHA-109_Xel_Strain_idle.png,ID.9023|ID.2229|ID.4287,"[169, 209, 95]"
ALPHA-110,ALPHA,2,LunarDros,Mechanical,Gravity,SYNTHETIC NETWORK,7935,850,95,87,651,Singularity Lock,Anchor Strike,Anchor Stun,Anchor Ward,Pull Boost,Pull Slam,Anchor Apotheosis,Mass Apotheosis,Mass Charge,Unit LunarDros deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Gravity.,ALPHA-110_LunarDros_idle.png,ID.4345|ID.5797|ID.5238,"[224, 21, 158]"
ALPHA-111,ALPHA,2,SolarTor,Angelic,Crystal,LUMINA SECT,9253,825,76,93,597,Geode Cataclysm,Gem Slam,Geode Strike,Geode Terminus,Shard Suppress,Facet Cleanse,Lattice Stun,Prism Rush,Facet Shield,SolarTor descends from the ASTRUM DIVISION. Crystal radiance shields the faithful.,ALPHA-111_SolarTor_idle.png,ID.2981|ID.9340|ID.1308,"[54, 216, 182]"
ALPHA-112,ALPHA,2,Vire Vector,Viral,Time,ROT CLUSTER,6657,648,97,89,618,Paradox Shield,Loop Onslaught,Era Stun,Epoch Zenith,Paradox Strike,Paradox Rush,Era Ward,Shift Catalyst,Epoch Silence,Strain Vire Vector breaches containment. Time-mutation sequence active. Quarantine failed.,ALPHA-112_Vire_Vector_idle.png,ID.7526|ID.3900|ID.9253,"[51, 186, 55]"
ALPHA-113,ALPHA,2,AetherVorn,Demonic,Lightning,BRIMSTONE CELL,8311,801,99,83,462,Thunder Silence,Spark Catalyst,Spark Lock,Spark Slam,Spark Restore,Volt Charge,Arc Strike,Arc Restore,Volt Zenith,AetherVorn claws forth from the BRIMSTONE CELL. Lightning burns in its wake.,ALPHA-113_AetherVorn_idle.png,ID.9838|ID.9892|ID.3637,"[192, 253, 150]"
ALPHA-114,ALPHA,2,Nyxtor,Angelic,Dark,ASTRUM DIVISION,8595,628,94,99,613,Eclipse Onslaught,Shadow Lock,Void Catalyst,Abyss Boost,Eclipse Cleanse,Night Rush,Void Catalyst,Void Suppress,Void Slam,Nyxtor descends from the LUMINA SECT. Dark radiance shields the faithful.,ALPHA-114_Nyxtor_idle.png,ID.6499|ID.8063|ID.2469,"[63, 227, 150]"
ALPHA-115,ALPHA,2,Soldra,Viral,Time,INFECTION VECTOR,8355,731,84,83,452,Chrono Barrage,Era Apotheosis,Paradox Apotheosis,Shift Shield,Shift Silence,Epoch Slam,Epoch Drain,Era Ward,Paradox Onslaught,Strain Soldra breaches containment. Time-mutation sequence active. Quarantine failed.,ALPHA-115_Soldra_idle.png,ID.8656|ID.6132|ID.2499,"[154, 115, 239]"
ALPHA-116,ALPHA,2,Kaellor,Angelic,Light,LUMINA SECT,8761,604,96,101,623,Dawn Restore,Radiance Drain,Lumen Strike,Dawn Drain,Prism Apotheosis,Dawn Strike,Beam Onslaught,Radiance Terminus,Radiance Restore,Kaellor descends from the HALO CORE. Light radiance shields the faithful.,ALPHA-116_Kaellor_idle.png,ID.3558|ID.2973|ID.1180,"[109, 118, 226]"
ALPHA-117,ALPHA,2,Qormir,Angelic,Nature,CELESTIAL ORDER,8619,677,90,106,747,Root Lock,Vine Cleanse,Canopy Stun,Thorn Restore,Vine Strike,Spore Slam,Vine Overdrive,Canopy Cataclysm,Bloom Rush,Qormir descends from the LUMINA SECT. Nature radiance shields the faithful.,ALPHA-117_Qormir_idle.png,ID.1233|ID.6758|ID.9290,"[15, 228, 105]"
ALPHA-118,ALPHA,2,Jorur,Angelic,Earth,HALO CORE,8184,796,99,95,553,Quake Onslaught,Quake Boost,Terra Catalyst,Stone Lock,Stone Empower,Mountain Terminus,Core Rush,Quake Drain,Mountain Strike,Jorur descends from the CELESTIAL ORDER. Earth radiance shields the faithful.,ALPHA-118_Jorur_idle.png,ID.7017|ID.4648|ID.3332,"[59, 95, 244]"
ALPHA-119,ALPHA,2,Morphir,Demonic,Fire,VOID CULT,9184,691,78,89,512,Scorch Catalyst,Blaze Slam,Inferno Charge,Scorch Boost,Ignite Ward,Ember Slam,Ember Bind,Scorch Terminus,Blaze Stun,Morphir claws forth from the VOID CULT. Fire burns in its wake.,ALPHA-119_Morphir_idle.png,ID.2725|ID.3110|ID.3242,"[82, 1, 246]"
ALPHA-120,ALPHA,2,Dros Beast,Demonic,Crystal,PANDEMONIUM NET,7524,752,92,85,468,Facet Overdrive,Shard Rush,Shard Cataclysm,Lattice Empower,Gem Strike,Shard Onslaught,Gem Empower,Gem Stun,Gem Stun,Dros Beast claws forth from the PANDEMONIUM NET. Crystal burns in its wake.,ALPHA-120_Dros_Beast_idle.png,ID.8877|ID.5387|ID.2690,"[18, 64, 72]"
ALPHA-121,ALPHA,2,Thas Archon,Angelic,Nature,CELESTIAL ORDER,7344,646,81,90,585,Thorn Strike,Root Silence,Bloom Onslaught,Vine Restore,Bloom Ward,Spore Zenith,Bloom Drain,Thorn Slam,Thorn Zenith,Thas Archon descends from the ASTRUM DIVISION. Nature radiance shields the faithful.,ALPHA-121_Thas_Archon_idle.png,ID.6173|ID.8572|ID.4516,"[78, 89, 247]"
ALPHA-122,ALPHA,2,Nir Mutant,Viral,Metal,CORRUPTED SECTOR,9497,738,88,93,663,Plate Terminus,Steel Restore,Iron Suppress,Plate Empower,Alloy Terminus,Plate Stun,Steel Charge,Forge Strike,Alloy Strike,Strain Nir Mutant breaches containment. Metal-mutation sequence active. Quarantine failed.,ALPHA-122_Nir_Mutant_idle.png,ID.7106|ID.1370|ID.9188,"[69, 8, 238]"
ALPHA-123,ALPHA,2,SynapticMir,Demonic,Water,BRIMSTONE CELL,7685,719,97,96,545,Surge Barrage,Current Silence,Tide Stun,Torrent Ward,Depth Zenith,Surge Restore,Torrent Charge,Surge Rush,Tide Catalyst,SynapticMir claws forth from the VOID CULT. Water burns in its wake.,ALPHA-123_SynapticMir_idle.png,ID.9536|ID.4316|ID.3484,"[180, 143, 83]"
ALPHA-124,ALPHA,2,EternalVek,Angelic,Fire,ASTRUM DIVISION,7953,557,74,93,625,Scorch Charge,Scorch Stun,Scorch Charge,Combust Apotheosis,Ember Restore,Combust Slam,Scorch Empower,Blaze Catalyst,Inferno Bind,EternalVek descends from the ASTRUM DIVISION. Fire radiance shields the faithful.,ALPHA-124_EternalVek_idle.png,ID.9048|ID.8576|ID.9315,"[15, 109, 99]"
BETA-251,BETA,3,Duskale,Angelic,Poison,ASTRUM DIVISION,5774,574,71,81,472,Miasma Overdrive,Toxin Strike,Contagion Strike,Contagion Apotheosis,Plague Stun,Toxin Shield,Toxin Slam,Blight Restore,Venom Lock,Duskale descends from the HALO CORE. Poison radiance shields the faithful.,BETA-251_Duskale_idle.png,ID.4592|ID.1570|ID.1260,"[136, 81, 192]"
BETA-252,BETA,3,Sollor,Viral,Sound,PHAGE CELL,6278,615,66,63,368,Tone Boost,Tone Silence,Frequency Rush,Echo Apotheosis,Echo Charge,Tone Drain,Resonance Cleanse,Resonance Zenith,Tone Charge,Strain Sollor breaches containment. Sound-mutation sequence active. Quarantine failed.,BETA-252_Sollor_idle.png,ID.6662|ID.8198|ID.9553,"[113, 62, 55]"
BETA-253,BETA,3,Zane Host,Viral,Wind,INFECTION VECTOR,5225,610,71,90,409,Squall Strike,Squall Overdrive,Gale Ward,Breeze Apotheosis,Zephyr Stun,Squall Barrage,Zephyr Slam,Cyclone Bind,Breeze Boost,Strain Zane Host breaches containment. Wind-mutation sequence active. Quarantine failed.,BETA-253_Zane_Host_idle.png,ID.3577|ID.5811|ID.2866,"[164, 62, 89]"
BETA-254,BETA,3,Dune Strain,Viral,Crystal,PHAGE CELL,5645,617,77,64,365,Gem Strike,Lattice Ward,Prism Terminus,Geode Strike,Lattice Terminus,Lattice Suppress,Prism Slam,Shard Stun,Gem Shield,Strain Dune Strain breaches containment. Crystal-mutation sequence active. Quarantine failed.,BETA-254_Dune_Strain_idle.png,ID.5927|ID.3006|ID.7379,"[87, 45, 135]"
BETA-255,BETA,3,AetherNir,Viral,Light,INFECTION VECTOR,7036,531,75,90,577,Prism Empower,Lumen Charge,Solar Drain,Dawn Suppress,Solar Terminus,Dawn Apotheosis,Solar Onslaught,Solar Rush,Lumen Empower,Strain AetherNir breaches containment. Light-mutation sequence active. Quarantine failed.,BETA-255_AetherNir_idle.png,ID.5192|ID.4040|ID.7540,"[28, 123, 50]"
BETA-256,BETA,3,DigitalVax,Mechanical,Void,IRON CORTEX,6300,510,62,66,447,Null Cleanse,Entropy Drain,Zero Silence,Collapse Ward,Collapse Zenith,Erase Slam,Null Apotheosis,Abyss Slam,Collapse Strike,Unit DigitalVax deployed from IRON CORTEX. Core temperature stable. Elemental sync: Void.,BETA-256_DigitalVax_idle.png,ID.8271|ID.6251|ID.2754,"[81, 182, 237]"
BETA-257,BETA,3,NexusNir,Angelic,Light,HALO CORE,6129,649,55,77,592,Radiance Terminus,Beam Cataclysm,Solar Drain,Dawn Empower,Radiance Onslaught,Beam Barrage,Radiance Drain,Radiance Cleanse,Beam Slam,NexusNir descends from the HALO CORE. Light radiance shields the faithful.,BETA-257_NexusNir_idle.png,ID.4380|ID.3566|ID.6846,"[128, 157, 19]"
BETA-258,BETA,3,Rios Host,Viral,Nature,PHAGE CELL,5948,590,66,76,483,Thorn Onslaught,Root Cleanse,Canopy Suppress,Thorn Onslaught,Canopy Onslaught,Thorn Silence,Root Restore,Root Cataclysm,Root Overdrive,Strain Rios Host breaches containment. Nature-mutation sequence active. Quarantine failed.,BETA-258_Rios_Host_idle.png,ID.6631|ID.2996|ID.1117,"[214, 190, 104]"
BETA-259,BETA,3,SolarDris,Viral,Light,PHAGE CELL,6829,649,68,68,361,Prism Onslaught,Lumen Slam,Beam Silence,Lumen Apotheosis,Solar Lock,Solar Shield,Radiance Barrage,Dawn Empower,Prism Overdrive,Strain SolarDris breaches containment. Light-mutation sequence active. Quarantine failed.,BETA-259_SolarDris_idle.png,ID.7514|ID.5773|ID.1389,"[238, 13, 144]"
BETA-260,BETA,3,Dris Strain,Viral,Nature,PHAGE CELL,7053,538,72,80,492,Thorn Strike,Bloom Catalyst,Thorn Bind,Canopy Ward,Thorn Drain,Vine Slam,Bloom Overdrive,Bloom Cleanse,Spore Barrage,Strain Dris Strain breaches containment. Nature-mutation sequence active. Quarantine failed.,BETA-260_Dris_Strain_idle.png,ID.9950|ID.5658|ID.6682,"[170, 227, 21]"
BETA-261,BETA,3,Thas Terror,Demonic,Dark,PANDEMONIUM NET,7062,472,70,88,520,Night Apotheosis,Abyss Cataclysm,Void Rush,Void Charge,Umbra Shield,Eclipse Rush,Night Lock,Void Cleanse,Night Suppress,Thas Terror claws forth from the VOID CULT. Dark burns in its wake.,BETA-261_Thas_Terror_idle.png,ID.9225|ID.2028|ID.7914,"[214, 25, 129]"
BETA-262,BETA,3,Dune Beast,Demonic,Wind,BRIMSTONE CELL,6448,510,80,66,575,Breeze Cataclysm,Draft Rush,Zephyr Shield,Draft Barrage,Cyclone Overdrive,Cyclone Shield,Gale Bind,Gale Stun,Breeze Onslaught,Dune Beast claws forth from the BRIMSTONE CELL. Wind burns in its wake.,BETA-262_Dune_Beast_idle.png,ID.1412|ID.4315|ID.4822,"[11, 174, 58]"
BETA-263,BETA,3,PrismaticKale,Demonic,Earth,PANDEMONIUM NET,5141,542,69,64,471,Quake Rush,Core Bind,Quake Overdrive,Mountain Boost,Terra Cleanse,Core Onslaught,Fissure Cataclysm,Stone Charge,Mountain Bind,PrismaticKale claws forth from the BRIMSTONE CELL. Earth burns in its wake.,BETA-263_PrismaticKale_idle.png,ID.4650|ID.8886|ID.1952,"[19, 85, 208]"
BETA-264,BETA,3,NexusMire,Viral,Metal,INFECTION VECTOR,5261,551,74,90,372,Plate Drain,Titan Cleanse,Alloy Zenith,Titan Terminus,Titan Empower,Forge Charge,Forge Onslaught,Alloy Rush,Forge Stun,Strain NexusMire breaches containment. Metal-mutation sequence active. Quarantine failed.,BETA-264_NexusMire_idle.png,ID.5289|ID.4074|ID.3320,"[125, 29, 113]"
BETA-265,BETA,3,Thalor,Mechanical,Crystal,SYNTHETIC NETWORK,5212,573,80,78,565,Prism Overdrive,Prism Slam,Prism Onslaught,Facet Shield,Geode Ward,Shard Zenith,Prism Slam,Facet Bind,Prism Lock,Unit Thalor deployed from SYNTHETIC NETWORK. Core temperature stable. Elemental sync: Crystal.,BETA-265_Thalor_idle.png,ID.7324|ID.2925|ID.4277,"[31, 243, 128]"
BETA-266,BETA,3,Dros Mutant,Viral,Void,ROT CLUSTER,5469,516,65,81,553,Entropy Barrage,Zero Cataclysm,Abyss Onslaught,Null Suppress,Entropy Stun,Collapse Cleanse,Null Strike,Abyss Zenith,Null Boost,Strain Dros Mutant breaches containment. Void-mutation sequence active. Quarantine failed.,BETA-266_Dros_Mutant_idle.png,ID.3223|ID.6708|ID.6142,"[80, 198, 217]"
BETA-267,BETA,3,Phos Fiend,Demonic,Nature,VOID CULT,7498,646,74,72,543,Root Zenith,Bloom Barrage,Spore Strike,Bloom Lock,Root Suppress,Root Ward,Vine Onslaught,Root Terminus,Vine Boost,Phos Fiend claws forth from the ABYSSAL CABAL. Nature burns in its wake.,BETA-267_Phos_Fiend_idle.png,ID.2244|ID.7463|ID.1476,"[17, 217, 80]"
BETA-268,BETA,3,Wyngorn,Angelic,Time,HALO CORE,6305,517,69,82,584,Era Apotheosis,Chrono Charge,Epoch Onslaught,Loop Slam,Paradox Silence,Paradox Zenith,Paradox Lock,Chrono Restore,Era Restore,Wyngorn descends from the CELESTIAL ORDER. Time radiance shields the faithful.,BETA-268_Wyngorn_idle.png,ID.8718|ID.3171|ID.4261,"[54, 133, 81]"
BETA-269,BETA,3,Dra Vector,Viral,Crystal,CORRUPTED SECTOR,7112,546,63,61,574,Gem Bind,Gem Apotheosis,Lattice Restore,Facet Stun,Geode Slam,Prism Terminus,Facet Onslaught,Prism Ward,Lattice Charge,Strain Dra Vector breaches containment. Crystal-mutation sequence active. Quarantine failed.,BETA-269_Dra_Vector_idle.png,ID.3602|ID.9036|ID.7499,"[138, 153, 222]"
BETA-270,BETA,3,PrimePhos,Viral,Blood,INFECTION VECTOR,6155,622,79,76,426,Vital Slam,Pulse Bind,Vein Bind,Pulse Ward,Crimson Cataclysm,Hemorrhage Catalyst,Sanguine Barrage,Sanguine Rush,Pulse Empower,Strain PrimePhos breaches containment. Blood-mutation sequence active. Quarantine failed.,BETA-270_PrimePhos_idle.png,ID.1728|ID.1822|ID.5858,"[52, 45, 32]"
BETA-271,BETA,3,Xel Core,Mechanical,Nature,PROTOCOL DIVISION,6425,485,71,77,442,Bloom Terminus,Vine Rush,Thorn Lock,Bloom Cataclysm,Spore Ward,Spore Rush,Root Drain,Vine Onslaught,Bloom Ward,Unit Xel Core deployed from GEAR SECT. Core temperature stable. Elemental sync: Nature.,BETA-271_Xel_Core_idle.png,ID.9129|ID.5553|ID.7587,"[32, 226, 182]"
BETA-272,BETA,3,Xeniel,Viral,Wind,INFECTION VECTOR,6856,595,63,86,428,Cyclone Bind,Breeze Restore,Cyclone Bind,Draft Slam,Squall Zenith,Squall Restore,Gale Onslaught,Draft Terminus,Cyclone Strike,Strain Xeniel breaches containment. Wind-mutation sequence active. Quarantine failed.,BETA-272_Xeniel_idle.png,ID.8891|ID.8630|ID.1401,"[75, 248, 56]"
