card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
ETA-0016,ETA,16,CoreBlaze ETAX,Mechanical,Fire,SYNTHETIC NETWORK,1098,126,24,28,110,Ember Shield,Ember Drain,Ember Charge,Flare Ward,Ember Catalyst,Pyre Rush,Pyre Ward,Flare Charge,Cinder Drain,[ETA] CoreBlaze ETAX (Fire) deployed from SYNTHETIC NETWORK. CSI=39.,,NyxGen,fire
THE-0017,THETA,17,HaloSurge THEX,Angelic,Aqua,CORRUPTED SECTOR,1028,74,15,20,47,Surge Charge,Mist Shield,Surge Bind,Mist Shield,Torrent Shield,Mist Rush,Ripple Drain,Mist Charge,Mist Strike,[THETA] HaloSurge THEX (Aqua) deployed from CORRUPTED SECTOR. CSI=41.,,NyxGen,aqua
THE-0018,THETA,18,CaelEmber THEX,Angelic,Fire,ROT CLUSTER,916,90,17,16,96,Pyre Catalyst,Flare Catalyst,Pyre Rush,Blaze Charge,Pyre Rush,Blaze Ward,Flare Shield,Cinder Boost,Ember Rush,[THETA] CaelEmber THEX (Fire) deployed from ROT CLUSTER. CSI=31.,,NyxGen,fire
IOT-0019,IOTA,19,FrameZephyr IOTX,Mechanical,Wind,GEAR SECT,714,67,14,12,77,Draft Bind,Zephyr Charge,Gale Strike,Gale Charge,Squall Catalyst,Breeze Drain,Breeze Drain,Zephyr Shield,Draft Ward,[IOTA] FrameZephyr IOTX (Wind) deployed from GEAR SECT. CSI=25.,,NyxGen,wind
IOT-0020,IOTA,20,SporeRoot IOTX,Viral,Wood,INFECTION VECTOR,633,69,17,12,68,Thorn Boost,Bark Shield,Root Ward,Bloom Drain,Bloom Catalyst,Vine Rush,Root Ward,Vine Shield,Thorn Boost,[IOTA] SporeRoot IOTX (Wood) deployed from INFECTION VECTOR. CSI=24.,,NyxGen,wood
KAP-0021,KAPPA,21,NodeArc KAPX,Mechanical,Elec,PROTOCOL DIVISION,434,32,14,13,26,Bolt Ward,Volt Ward,Surge Boost,Spark Strike,Volt Charge,Surge Rush,Surge Bind,Spark Bind,Surge Ward,[KAPPA] NodeArc KAPX (Elec) deployed from PROTOCOL DIVISION. CSI=21.,,NyxGen,elec
KAP-0022,KAPPA,22,AriaVolt KAPX,Angelic,Elec,SYNTHETIC NETWORK,621,35,8,13,37,Arc Boost,Surge Charge,Spark Bind,Bolt Catalyst,Bolt Boost,Bolt Strike,Bolt Charge,Arc Ward,Volt Ward,[KAPPA] AriaVolt KAPX (Elec) deployed from SYNTHETIC NETWORK. CSI=19.,,NyxGen,elec
LAM-0023,LAMBDA,23,UnitSanct LAMX,Mechanical,Holy,PROTOCOL DIVISION,252,26,10,12,20,Radiance Shield,Sera Ward,Lumen Boost,Radiance Bind,Lumen Catalyst,Radiance Drain,Sanct Catalyst,Sera Ward,Halo Rush,[LAMBDA] UnitSanct LAMX (Holy) deployed from PROTOCOL DIVISION. CSI=15.,,NyxGen,holy
LAM-0024,LAMBDA,24,WraithRoot LAMX,Demonic,Wood,CORRUPTED SECTOR,419,23,8,13,16,Root Drain,Root Strike,Bloom Drain,Vine Catalyst,Thorn Strike,Thorn Bind,Bloom Rush,Bloom Catalyst,Bark Rush,[LAMBDA] WraithRoot LAMX (Wood) deployed from CORRUPTED SECTOR. CSI=18.,,NyxGen,wood
MU-0025,MU,25,CinderUmbral MUX,Demonic,Void,ROT CLUSTER,183,22,9,10,13,Null Catalyst,Null Strike,Rift Strike,Eclipse Drain,Rift Ward,Eclipse Rush,Null Catalyst,Eclipse Shield,Umbral Shield,[MU] CinderUmbral MUX (Void) deployed from ROT CLUSTER. CSI=10.,,NyxGen,void
MU-0026,MU,26,CoreRipple MUX,Mechanical,Aqua,LUMINA SECT,314,27,8,10,17,Ripple Rush,Tide Shield,Torrent Boost,Torrent Drain,Surge Catalyst,Surge Shield,Surge Catalyst,Ripple Boost,Mist Bind,[MU] CoreRipple MUX (Aqua) deployed from LUMINA SECT. CSI=20.,,NyxGen,aqua
NU-0027,NU,27,SysUmbral NUX,Mechanical,Void,GEAR SECT,198,20,6,8,17,Umbral Ward,Null Boost,Abyss Boost,Umbral Charge,Rift Boost,Umbral Ward,Rift Shield,Null Bind,Umbral Catalyst,[NU] SysUmbral NUX (Void) deployed from GEAR SECT. CSI=12.,,NyxGen,void
NU-0028,NU,28,HexSquall NUX,Demonic,Wind,PROTOCOL DIVISION,208,11,7,8,11,Gale Boost,Gale Ward,Breeze Strike,Breeze Rush,Squall Shield,Breeze Charge,Draft Drain,Zephyr Shield,Gale Boost,[NU] HexSquall NUX (Wind) deployed from PROTOCOL DIVISION. CSI=6.,,NyxGen,wind
XI-0029,XI,29,MawHalo XIX,Demonic,Holy,ASTRUM DIVISION,96,13,5,6,8,Radiance Bind,Lumen Catalyst,Sera Drain,Lumen Boost,Halo Rush,Halo Rush,Sera Charge,Sanct Drain,Halo Catalyst,[XI] MawHalo XIX (Holy) deployed from ASTRUM DIVISION. CSI=2.,,NyxGen,holy
XI-0030,XI,30,PhagePyre XIX,Viral,Fire,PHAGE CELL,110,8,4,6,16,Pyre Drain,Pyre Boost,Flare Strike,Pyre Rush,Ember Drain,Ember Shield,Flare Charge,Flare Rush,Flare Boost,[XI] PhagePyre XIX (Fire) deployed from PHAGE CELL. CSI=2.,,NyxGen,fire
OMI-0031,OMICRON,31,RotArc OMIX,Viral,Elec,VOID CULT,111,10,4,5,7,Volt Strike,Spark Bind,Spark Ward,Bolt Ward,Surge Catalyst,Surge Rush,Spark Charge,Bolt Bind,Arc Bind,[OMICRON] RotArc OMIX (Elec) deployed from VOID CULT. CSI=0.,,NyxGen,elec
OMI-0032,OMICRON,32,HexTorrent OMIX,Demonic,Aqua,VOID CULT,115,9,5,3,4,Tide Charge,Torrent Drain,Mist Shield,Tide Charge,Torrent Shield,Ripple Boost,Torrent Shield,Surge Rush,Mist Rush,[OMICRON] HexTorrent OMIX (Aqua) deployed from VOID CULT. CSI=3.,,NyxGen,aqua
